,budget,genres,popularity,production_companies,release_date,revenue,runtime,title,vote_average,vote_count,Number_Genres
87,190000000,Adventure,130.311355,Walt Disney Pictures,2015-05-19,209154322,130.0,Tomorrowland,6.2,2846,4
88,165000000,Adventure,203.73459,Walt Disney Pictures,2014-10-24,652105443,102.0,Big Hero 6,7.8,6135,5
89,165000000,Family,62.341073,Walt Disney Animation Studios,2012-11-01,471222889,108.0,Wreck-It Ralph,7.1,4570,4
90,165000000,Adventure,47.323228,Golden Mean,2004-11-10,305875730,100.0,The Polar Express,6.4,1474,4
91,165000000,Action,48.775723,Twentieth Century Fox Film Corporation,2016-06-22,389681935,120.0,Independence Day: Resurgence,4.9,2491,3
92,165000000,Fantasy,67.263269,DreamWorks Animation,2010-03-05,494878759,98.0,How to Train Your Dragon,7.5,4227,4
93,200000000,Action,69.405188,Columbia Pictures,2003-07-02,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,3
94,170000000,Action,481.09862400000003,Marvel Studios,2014-07-30,773328629,121.0,Guardians of the Galaxy,7.9,9742,3
95,165000000,Adventure,724.247784,Paramount Pictures,2014-11-05,675120017,169.0,Interstellar,8.1,10867,3
96,160000000,Action,167.58371,Legendary Pictures,2010-07-14,825532764,148.0,Inception,8.1,13752,5
97,15000000,Action,9.476999000000001,Cine Bazar,2016-07-29,77000000,120.0,Shin Godzilla,6.5,143,5
98,250000000,Adventure,108.849621,WingNut Films,2012-11-26,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,3
99,38000000,Action,6.909942,Universal Pictures,2001-06-22,207283925,106.0,The Fast and the Furious,6.6,3428,3
100,150000000,Fantasy,60.269279000000004,Paramount Pictures,2008-11-24,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,5
101,160000000,Action,3.195174,Ingenious Film Partners,2011-05-24,353624124,132.0,X-Men: First Class,7.1,5181,3
102,160000000,Action,127.28442700000001,Studio Babelsberg,2015-11-18,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,3
103,150000000,Fantasy,35.580815,Walt Disney Pictures,2010-07-13,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,5
104,160000000,Adventure,21.133748,Virtual Studios,2006-05-12,181674817,99.0,Poseidon,5.5,583,4
105,170000000,Fantasy,56.268916000000004,Walt Disney Pictures,2016-05-25,299370084,113.0,Alice Through the Looking Glass,6.5,1725,1
106,160000000,Fantasy,42.986467,DreamWorks SKG,2007-05-17,798958165,93.0,Shrek the Third,6.0,2278,5
107,160000000,Action,63.148529,Universal Pictures,2016-05-25,433677183,123.0,Warcraft,6.3,2268,3
108,155000000,Science Fiction,202.04263500000002,Paramount Pictures,2015-06-23,440603537,126.0,Terminator Genisys,5.8,3631,4
109,155000000,Adventure,49.661984000000004,Dune Entertainment,2010-08-13,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,3
110,140000000,History,34.20669,Jerry Bruckheimer Films,2001-05-21,449220945,183.0,Pearl Harbor,6.6,1791,3
111,150000000,Adventure,25.468493,Paramount Pictures,2007-06-27,709709780,144.0,Transformers,6.6,4040,3
112,155000000,War,39.019228999999996,France 3 Cin\u00e9ma,2004-11-21,167298192,175.0,Alexander,5.6,927,6
113,150000000,Adventure,78.14439499999999,Warner Bros.,2007-06-28,938212738,138.0,Harry Potter and the Order of the Phoenix,7.4,5494,4
114,150000000,Adventure,101.250416,Patalex IV Productions Limited,2005-11-05,895921036,157.0,Harry Potter and the Goblet of Fire,7.5,5608,3
115,150000000,Fantasy,56.758410999999995,Columbia Pictures,2008-07-01,624029371,92.0,Hancock,6.2,2961,2
116,150000000,Drama,70.867401,Village Roadshow Pictures,2007-12-14,585349010,101.0,I Am Legend,6.9,4853,5
117,150000000,Adventure,53.905592000000006,Village Roadshow Pictures,2005-07-13,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,4
118,150000000,Animation,65.677399,Walt Disney Pictures,2007-06-22,623722818,111.0,Ratatouille,7.5,4369,4
119,150000000,Action,115.040024,DC Comics,2005-06-10,374218673,140.0,Batman Begins,7.5,7359,3
120,150000000,Family,44.141021,DreamWorks Animation,2008-10-30,603900354,89.0,Madagascar: Escape 2 Africa,6.2,1810,2
121,150000000,Adventure,81.781591,Twentieth Century Fox Film Corporation,2009-05-20,413106170,105.0,Night at the Museum: Battle of the Smithsonian,5.9,1971,5
122,150000000,Adventure,5.954333999999999,Ingenious Film Partners,2009-04-28,373062864,107.0,X-Men Origins: Wolverine,6.2,4021,4
123,150000000,Adventure,73.313918,Village Roadshow Pictures,2003-11-05,424988211,129.0,The Matrix Revolutions,6.4,3096,4
124,150000000,Animation,165.12536599999999,Walt Disney Pictures,2013-11-27,1274219009,102.0,Frozen,7.3,5295,3
125,150000000,Adventure,70.78591,Village Roadshow Pictures,2003-05-15,738599701,138.0,The Matrix Reloaded,6.7,3443,4
126,170000000,Action,99.499595,Marvel Studios,2013-10-29,644571402,112.0,Thor: The Dark World,6.8,4755,3
127,150000000,Action,434.27856399999996,Village Roadshow Pictures,2015-05-13,378858340,120.0,Mad Max: Fury Road,7.2,9427,4
128,150000000,Thriller,67.447636,Columbia Pictures,2009-05-13,356613439,138.0,Angels & Demons,6.5,2129,2
129,150000000,Adventure,86.493424,Marvel Studios,2011-04-21,449326618,115.0,Thor,6.6,6525,3
130,150000000,Animation,41.845878000000006,Walt Disney Animation Studios,2008-11-21,309979994,98.0,Bolt,6.3,1750,4
131,150000000,Fantasy,26.710397999999998,Walt Disney Pictures,2009-07-21,292817841,88.0,G-Force,5.1,510,5
132,150000000,Adventure,44.927634999999995,Legendary Pictures,2012-03-27,301000000,99.0,Wrath of the Titans,5.5,1431,1
133,150000000,Comedy,50.306728,Village Roadshow Pictures,2012-05-08,245527149,113.0,Dark Shadows,5.7,2320,2
134,150000000,Action,114.52223700000002,Paramount Pictures,2015-07-23,682330139,131.0,Mission: Impossible - Rogue Nation,7.1,3224,3
135,150000000,Drama,21.214571,Universal Pictures,2010-02-11,0,102.0,The Wolfman,5.5,549,3
136,150000000,Family,29.332905,Pacific Data Images (PDI),2007-10-28,287594577,91.0,Bee Movie,5.7,1171,4
137,150000000,Animation,51.247321,DreamWorks Animation,2011-05-25,665692281,91.0,Kung Fu Panda 2,6.7,1880,2
138,150000000,Action,33.769335999999996,Paramount Pictures,2010-06-30,318502923,103.0,The Last Airbender,4.7,1151,4
139,150000000,Adventure,63.079003,Paramount Pictures,2006-05-03,397850012,126.0,Mission: Impossible III,6.5,2028,3
140,150000000,Action,39.004588,Columbia Pictures,2013-06-27,205366737,131.0,White House Down,6.4,1891,3
141,150000000,Adventure,12.362599000000001,Walt Disney Animation Studios,2011-03-09,38992758,88.0,Mars Needs Moms,5.5,199,3
142,149000000,Adventure,22.550135,Aardman Animations,2006-10-22,64459316,85.0,Flushed Away,6.0,874,4
143,150000000,Adventure,48.03528,Warner Bros.,2015-09-24,128388320,111.0,Pan,5.9,954,3
144,145000000,Animation,38.73494,Pacific Data Images (PDI),2014-02-07,272912430,92.0,Mr. Peabody & Sherman,6.7,843,3
145,175000000,Adventure,66.803149,Plan B Entertainment,2004-05-13,497409852,163.0,Troy,6.9,2759,3
146,145000000,Animation,44.989191999999996,DreamWorks Animation,2012-06-06,746921274,93.0,Madagascar 3: Europe's Most Wanted,6.4,1808,2
147,140000000,Adventure,54.159392000000004,Eon Productions,2002-11-17,431971116,133.0,Die Another Day,5.8,1092,3
148,144000000,Action,66.21806,Columbia Pictures,2016-07-14,229147509,116.0,Ghostbusters,5.3,2142,3
149,140000000,Action,58.485967,Jerry Bruckheimer Films,1998-07-01,553799566,151.0,Armageddon,6.4,2482,4
150,140000000,Action,91.332849,Columbia Pictures,2002-07-03,441818803,88.0,Men in Black II,6.0,3114,4
151,70000000,Adventure,35.601665000000004,Paramount Pictures,2007-11-05,195735876,115.0,Beowulf,5.5,841,3
152,145000000,Action,56.747978,Twentieth Century Fox Film Corporation,2016-01-23,521170825,95.0,Kung Fu Panda 3,6.7,1603,5
153,145000000,Action,77.77476999999999,Paramount Pictures,2011-12-07,694713380,133.0,Mission: Impossible - Ghost Protocol,6.8,3972,3
154,145000000,Fantasy,61.788035,DreamWorks Animation,2012-11-21,306941670,97.0,Rise of the Guardians,7.1,1922,3
155,100000000,Comedy,25.159167999999998,Imagine Entertainment,2005-12-21,202026112,90.0,Fun with Dick and Jane,5.9,627,1
156,140000000,Drama,52.341226,Cruise/Wagner Productions,2003-12-05,456758981,154.0,The Last Samurai,7.3,1895,4
157,140000000,Adventure,101.599427,Scott Free Productions,2014-12-03,268031828,150.0,Exodus: Gods and Kings,5.6,1921,3
158,150000000,Science Fiction,73.61680799999999,Paramount Pictures,2009-05-06,385680446,127.0,Star Trek,7.4,4518,3
159,139000000,Fantasy,82.502566,Columbia Pictures,2002-05-01,821708551,121.0,Spider-Man,6.8,5265,2
160,145000000,Fantasy,100.21391,DreamWorks Animation,2014-06-12,609123048,102.0,How to Train Your Dragon 2,7.6,3106,6
161,140000000,Fantasy,56.257249,Summit Entertainment,2016-02-25,150680864,127.0,Gods of Egypt,5.3,1277,1
162,135000000,Action,17.88953,Laura Ziskin Productions,2005-07-28,76932943,121.0,Stealth,4.9,331,1
163,130000000,Action,64.798873,Paramount Pictures,2009-03-05,185258983,163.0,Watchmen,7.0,2811,3
164,140000000,Action,24.855701,Silver Pictures,1998-07-10,285444603,127.0,Lethal Weapon 4,6.3,767,5
165,137000000,Drama,34.981698,Universal Pictures,2003-06-19,245360480,138.0,Hulk,5.3,1533,3
166,130000000,Adventure,59.325589,Paramount Pictures,2013-03-26,371876278,110.0,G.I. Joe: Retaliation,5.4,3025,4
167,130000000,Action,21.605567999999998,Paramount Pictures,2005-04-06,119269486,124.0,Sahara,5.7,434,5
168,137000000,Adventure,26.074907999999997,Columbia Pictures,2001-07-02,85131830,106.0,Final Fantasy: The Spirits Within,5.9,433,6
169,140000000,Action,74.50624599999999,Marvel Studios,2011-07-22,370569774,124.0,Captain America: The First Avenger,6.6,7047,3
170,135000000,Adventure,39.604363,Eon Productions,1999-11-08,361832400,128.0,The World Is Not Enough,6.0,862,3
171,150000000,Adventure,36.973031,Universal Pictures,2003-11-14,212011111,138.0,Master and Commander: The Far Side of the World,6.9,790,1
172,120000000,Adventure,99.687084,Summit Entertainment,2012-11-13,829000000,115.0,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,4
173,130000000,Animation,17.7735,Village Roadshow Pictures,2011-11-17,150406466,100.0,Happy Feet Two,5.8,373,3
174,150000000,Science Fiction,62.898336,Universal Pictures,2008-06-12,163712074,114.0,The Incredible Hulk,6.1,3021,3
175,140000000,Adventure,44.19092,Walt Disney Pictures,2016-06-01,183345589,120.0,The BFG,6.0,1000,3
176,135000000,Western,100.635882,Regency Enterprises,2015-12-25,532950503,156.0,The Revenant,7.3,6396,4
177,135000000,Animation,44.765377,DreamWorks Animation,2013-07-11,282570682,96.0,Turbo,6.1,1074,2
178,135000000,Animation,29.913529999999998,Paramount Pictures,2011-03-02,245724603,107.0,Rango,6.6,2051,5
179,132000000,Family,84.366984,DreamWorks Animation,2014-11-22,373552094,92.0,Penguins of Madagascar,6.5,1346,4
180,70000000,Action,45.381501,Universal Pictures,2007-08-03,442824138,115.0,The Bourne Ultimatum,7.3,2888,4
181,130000000,Adventure,84.68964799999999,DreamWorks Animation,2008-06-04,631744560,90.0,Kung Fu Panda,6.9,3145,4
182,130000000,Science Fiction,120.09361000000001,Marvel Studios,2015-07-14,519311965,117.0,Ant-Man,7.0,5880,3
183,130000000,Adventure,76.310119,Lionsgate,2013-11-15,847423452,146.0,The Hunger Games: Catching Fire,7.4,6495,3
184,135000000,Fantasy,63.473086,Twentieth Century Fox Film Corporation,2015-03-18,368871007,94.0,Home,6.8,1519,5
185,132000000,Adventure,48.572726,Paramount Pictures,2005-06-28,591739379,116.0,War of the Worlds,6.2,2322,3
186,130000000,Adventure,38.068736,Columbia Pictures Corporation,2003-07-18,273339556,147.0,Bad Boys II,6.3,1564,5
187,130000000,Action,20.678787,DreamWorks,2011-10-28,554987477,90.0,Puss in Boots,6.4,451,5
188,110000000,Action,48.829437,Columbia Pictures,2010-07-21,293329073,100.0,Salt,6.2,2093,3
189,125000000,Drama,46.115758,Paramount Pictures,2014-03-20,362637473,139.0,Noah,5.6,2350,2
190,130000000,Adventure,89.938296,Paramount Pictures,2011-10-25,371940071,107.0,The Adventures of Tintin,6.7,2061,3
191,130000000,Adventure,79.679601,1492 Pictures,2004-05-31,789804554,141.0,Harry Potter and the Prisoner of Azkaban,7.7,5877,3
192,130000000,Drama,28.840996999999998,Bazmark Films,2008-11-18,49554002,165.0,Australia,6.3,694,1
193,130000000,Science Fiction,42.840582,Columbia Pictures,2013-05-30,243843127,100.0,After Earth,5.0,2532,3
194,127500000,Animation,26.548594,Walt Disney Pictures,2000-05-19,354248063,82.0,Dinosaur,6.2,542,2
195,127000000,Adventure,115.597753,Twentieth Century Fox Film Corporation,2014-12-17,349424282,97.0,Night at the Museum: Secret of the Tomb,6.1,1851,4
196,130000000,Animation,68.757242,DreamWorks Animation,2010-10-28,321887208,95.0,Megamind,6.7,1918,5
197,125000000,Adventure,109.984351,1492 Pictures,2001-11-16,976475550,152.0,Harry Potter and the Philosopher's Stone,7.5,7006,3
198,130000000,Fantasy,39.448066,Universal Pictures,2013-07-18,61648500,96.0,R.I.P.D.,5.4,1260,4
199,140000000,Adventure,271.972889,Walt Disney Pictures,2003-07-09,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,3
200,125000000,Science Fiction,206.227151,Lionsgate,2014-11-18,752100229,123.0,The Hunger Games: Mockingjay - Part 1,6.6,5584,3
201,125000000,Thriller,45.313196999999995,Columbia Pictures,2006-05-17,767820459,149.0,The Da Vinci Code,6.5,2704,2
202,103000000,Animation,42.400240000000004,Blue Sky Studios,2014-03-19,500188435,102.0,Rio 2,6.3,978,4
203,110000000,Adventure,2.871739,Twentieth Century Fox Film Corporation,2003-04-24,407711549,133.0,X2,6.8,3506,4
204,125000000,Action,7.255717999999999,Universal Pictures,2011-04-20,626137675,130.0,Fast Five,7.1,2438,3
205,125000000,Adventure,81.49962099999999,Village Roadshow Pictures,2011-11-22,334615000,129.0,Sherlock Holmes: A Game of Shadows,7.0,3886,4
206,125000000,Adventure,47.686442,The Zanuck Company,2010-04-01,232713139,106.0,Clash of the Titans,5.6,2233,3
207,65000000,Action,43.129703000000006,TriStar Pictures,1990-06-01,261317921,113.0,Total Recall,7.1,1710,3
208,160000000,Adventure,27.220157,Touchstone Pictures,1999-08-27,61698899,102.0,The 13th Warrior,6.4,510,3
209,130000000,Action,90.33681,Universal Pictures,2012-08-08,276572938,120.0,The Bourne Legacy,6.0,2651,2
210,125000000,Action,50.073575,PolyGram Filmed Entertainment,1997-06-20,238207122,125.0,Batman & Robin,4.2,1418,3
211,123000000,Family,45.419668,Imagine Entertainment,2000-11-17,345141403,104.0,How the Grinch Stole Christmas,6.2,1386,3
212,125000000,Action,41.380094,Lions Gate Films,2004-05-26,544272402,124.0,The Day After Tomorrow,6.2,2392,4
213,125000000,Adventure,54.931334,Paramount Pictures,2000-05-24,546388105,123.0,Mission: Impossible II,5.9,1928,3
214,120000000,Drama,25.752118,Warner Bros.,2000-03-15,325756637,130.0,The Perfect Storm,6.2,597,1
215,130000000,Adventure,60.810722999999996,Ingenious Film Partners,2007-06-13,289047763,92.0,Fantastic 4: Rise of the Silver Surfer,5.4,2589,4
216,120000000,Adventure,51.328145,Ingenious Film Partners,2012-11-20,609016565,127.0,Life of Pi,7.2,5797,3
217,110000000,Thriller,46.834703999999995,Columbia Pictures Corporation,2007-02-16,228738393,114.0,Ghost Rider,5.2,1712,4
218,120000000,Action,62.641286,The Kennedy/Marshall Company,2016-07-27,415484914,123.0,Jason Bourne,5.9,2341,2
219,120000000,Action,33.616115,Columbia Pictures,2003-06-27,259175788,106.0,Charlie's Angels: Full Throttle,5.2,914,3
220,130000000,Science Fiction,68.889395,Twentieth Century Fox Film Corporation,2012-05-30,403170142,124.0,Prometheus,6.3,5080,3
221,120000000,Family,27.990284000000003,Columbia Pictures,2002-07-19,169956806,78.0,Stuart Little 2,5.4,613,4
222,115000000,Science Fiction,67.33766999999999,TriStar Pictures,2013-08-07,286140700,109.0,Elysium,6.4,3439,4
223,105000000,Action,27.835435999999998,One Race Films,2004-06-11,115772733,119.0,The Chronicles of Riddick,6.3,1570,2
224,120000000,Action,66.757869,Columbia Pictures,2014-01-30,242688965,102.0,RoboCop,5.7,2342,2
225,120000000,Action,17.060695000000003,Village Roadshow Pictures,2008-05-09,93945766,135.0,Speed Racer,5.7,354,3
226,120000000,Comedy,11.137655,Columbia Pictures,2010-12-17,48668907,121.0,How Do You Know,4.9,223,3
227,117000000,Action,44.906918,Tree Line Films,2010-06-15,261930431,109.0,Knight and Day,5.9,1547,2
228,120000000,Action,67.698004,Universal Pictures,2013-04-10,286168572,124.0,Oblivion,6.4,4800,4
229,113000000,Science Fiction,44.108427,Lucasfilm,2005-05-17,850000000,140.0,Star Wars: Episode III - Revenge of the Sith,7.1,4116,3
230,120000000,Adventure,43.987061,Lucasfilm,2002-05-15,649398328,142.0,Star Wars: Episode II - Attack of the Clones,6.4,3992,3
